Temp,Time,Humidity
22.0,02:19:19,46.5
22.0,02:19:22,46.5
22.0,02:19:28,46.5
22.0,02:19:36,46.75
22.25,02:19:39,46.75
22.25,02:19:42,46.75
22.25,02:19:45,46.75
22.25,02:19:49,46.75
22.25,02:20:07,46.5
22.25,02:20:15,46.5
22.25,02:20:18,46.5
22.5,02:20:41,46.5
22.25,02:20:50,46.5
22.5,02:20:53,46.5
22.5,02:20:56,46.5
22.5,02:21:09,46.5
22.5,02:21:12,46.5
22.5,02:21:15,46.5
22.5,02:21:18,46.5
22.5,02:21:22,46.5
22.5,02:21:27,46.5
22.5,02:21:30,46.25
22.5,02:21:36,46.25
22.5,02:21:41,46.5
22.5,02:21:47,46.5
22.5,02:21:53,46.0
22.5,02:21:56,46.25
22.5,02:22:04,46.0
22.5,02:22:10,46.0
22.5,02:22:13,46.0
22.5,02:22:16,46.0
22.5,02:22:19,46.0
22.5,02:22:25,46.0
22.5,02:22:28,46.0
22.5,02:22:31,46.0
22.5,02:22:34,46.0
22.5,02:22:40,46.0
22.5,02:23:00,45.75
22.5,02:23:21,45.75
22.5,02:23:42,45.75
22.5,02:23:58,45.75
22.5,02:24:34,45.75
22.5,02:25:00,46.0
22.333333333333332,02:26:09,45.666666666666664
22.25,02:26:50,45.75
22.25,02:26:55,45.75
22.25,02:26:58,45.75
22.25,02:27:27,45.75
22.25,02:27:38,45.75
22.25,02:27:46,45.75
22.5,02:28:32,45.75
22.5,02:29:03,45.75
22.25,02:29:29,45.75
22.5,02:30:12,45.75
22.333333333333332,02:31:13,46.0
22.5,02:31:46,45.75
22.5,02:32:37,45.75
22.666666666666668,20:40:21,46.0
22.25,20:41:07,45.75
22.25,20:41:46,45.75
22.5,20:42:34,45.75
22.5,20:42:53,45.75
22.5,20:43:01,45.75
22.5,20:43:39,45.5
22.5,20:43:48,45.5
22.5,20:44:24,45.5
21.5,20:44:32,45.75
22.5,20:44:55,45.75
21.5,20:45:08,45.5
